description,biddable,startprice,condition,cellular,carrier,color,storage,productline,sold,UniqueID
,0,199,For parts or not working,0,None,White,32,Unknown,0,11606
,1,50,For parts or not working,0,None,White,16,iPad 2,1,11607
,0,149,Seller refurbished,0,None,Unknown,16,iPad mini,1,11608
"BROKEN: Device has at least one or more problems: 
For Parts or Repair",0,29.95,For parts or not working,0,None,Unknown,16,iPad 1,1,11609
Icloud lock,0,129.99,For parts or not working,0,None,White,16,iPad 2,0,11610
CLEAN ICLOUD..NO LOCKS..WON&#039;T POWER ON..This iPad has a bad power button and will not power on. I ,1,15,For parts or not working,1,Unknown,Black,32,iPad 1,1,11611
This iPad is ICLOUD LOCKED. You will not be able to use it. It is being sold for parts only. It is ,0,229.98,For parts or not working,0,None,Space Gray,16,iPad Air 2,0,11612
,1,19.5,For parts or not working,1,Sprint,Black,16,iPad mini,1,11613
Please Read. No Returns.,0,69.95,For parts or not working,0,None,Unknown,16,iPad 2,0,11614
,1,75,For parts or not working,0,None,Space Gray,16,iPad Air,1,11615
,1,50,For parts or not working,0,None,Space Gray,16,iPad mini,1,11616
,1,14.99,For parts or not working,1,Unknown,Black,64,iPad 1,1,11617
,1,100,For parts or not working,1,Unknown,White,64,iPad 4,1,11618
"Please note that this unit is in working condition, but is locked with another Apple ID",1,299.99,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,1,11619
touch screen not reponding,1,0.99,For parts or not working,0,None,Unknown,16,iPad 2,1,11620
"Stopped charging a few years ago, took to apple and they said the connector pin inside the ipad is ",1,0.99,For parts or not working,1,Unknown,Black,64,iPad 1,1,11621
,1,30,For parts or not working,0,None,Unknown,32,iPad 1,0,11622
,1,0.99,For parts or not working,0,None,Black,16,Unknown,1,11623
iPad would not update after last software upgrade from Apple,1,25,For parts or not working,0,None,Unknown,32,iPad 3,1,11624
,1,0.99,For parts or not working,0,None,Unknown,16,iPad Air,1,11625
,1,114.99,For parts or not working,0,None,Unknown,16,iPad mini,0,11626
,1,49.99,For parts or not working,0,None,White,16,iPad 3,1,11627
"This tablet is in great condition it totally working but need to reactivated is the only, i do not ",1,10,For parts or not working,0,None,Unknown,16,iPad mini,1,11628
Activation Locked Icloud Locked Passcode Locked Sold As Is No Returns All Sales Are Final,0,59.99,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,0,11629
,1,30,For parts or not working,0,None,Unknown,16,iPad 2,1,11630
,0,100,For parts or not working,1,Unknown,Black,64,iPad 3,0,11631
,1,30,For parts or not working,0,None,White,16,iPad mini,1,11632
,0,209,For parts or not working,Unknown,Unknown,Unknown,16,iPad Air,0,11633
,1,14.99,For parts or not working,1,Unknown,Black,64,iPad 1,1,11634
powering on but stuck on the itunes logo,1,0.99,For parts or not working,0,None,Unknown,32,iPad 3,1,11635
,1,25,For parts or not working,0,None,White,16,iPad mini,1,11636
,1,0.99,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,1,11637
,1,39,For parts or not working,0,None,White,16,iPad 4,1,11638
,1,119.99,For parts or not working,0,None,Unknown,16,iPad mini,0,11639
This is a Apple iPad 2 16GB Wifi only. The iPad has a cracked screen and bent corner(s). In the 2nd ,0,89.99,For parts or not working,0,None,White,16,iPad 2,0,11640
&lt;iCloud Locked&gt;,1,32.95,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,1,11641
Brand new. Bad ESN.,0,550,For parts or not working,1,Sprint,Unknown,128,iPad Air 2,0,11642
iPad is cracked but fully functional. Everything works well and just needs the screen (digitizer) to ,0,128,For parts or not working,0,None,White,32,iPad 3,0,11643
,1,80,For parts or not working,0,None,Unknown,16,iPad 2,0,11644
,1,0.99,For parts or not working,0,None,Unknown,32,iPad Air,1,11645
PLEASE READ THE ENTIRE DESCRIPTION! THE ANSWER TO YOUR QUESTION(S) ARE USUALLY ALREADY IN THE ,1,40,For parts or not working,0,None,Unknown,64,iPad 2,1,11646
"iPad Mini does not have any dents or heavy visible scratches, as shown in the pictures.",1,0.99,For parts or not working,0,None,Space Gray,16,iPad mini,1,11647
,0,71.99,For parts or not working,0,None,Black,16,iPad 2,1,11648
,0,209,For parts or not working,Unknown,Unknown,Unknown,16,iPad Air,0,11649
"WORKING! Cracked screen and dented corners, see photos",1,92,For parts or not working,0,None,Unknown,64,iPad 2,1,11650
"Please note that this unit is in working condition, but is locked with another Apple ID",1,179.99,For parts or not working,0,None,Unknown,32,iPad Air,0,11651
"This iPad is functional. However, it has a cracked screen. Includes iPad only. Does not include ",1,0.99,For parts or not working,0,None,Unknown,16,iPad mini 2,1,11652
,1,0.99,For parts or not working,0,None,Unknown,16,iPad mini,1,11653
This iPad has a bad IMEINo USB,1,0.99,For parts or not working,1,T-Mobile,White,16,iPad Air,1,11654
,1,65,For parts or not working,1,AT&T,Black,64,iPad 4,1,11655
,1,0.99,For parts or not working,0,None,Black,16,iPad mini,1,11656
,1,1,For parts or not working,1,AT&T,Unknown,32,iPad 1,1,11657
iPad is cracked but fully functional. Everything works well and just needs the screen (digitizer) to ,0,128,For parts or not working,0,None,White,32,iPad 3,0,11658
Everything works perfect only damage shown on third picture. Screen works perfect. Original box and ,0,200,Used,Unknown,Unknown,Unknown,32,iPad 2,0,11659
selling my ipad mini  has a brand new screen  on it  i dont know whats wrong  sometimes the it works ,1,0.99,For parts or not working,0,None,Black,16,iPad mini,1,11660
Just broken screen still works fine,1,25,For parts or not working,0,None,White,32,iPad mini,1,11661
,1,30,For parts or not working,0,None,Unknown,16,iPad mini,1,11662
,0,57.5,For parts or not working,Unknown,Unknown,Unknown,16,Unknown,1,11663
,1,39.99,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,1,11664
,1,75,For parts or not working,Unknown,Unknown,Unknown,16,Unknown,1,11665
,1,5,For parts or not working,0,None,White,16,iPad 2,1,11666
PLEASE READ THE ENTIRE DESCRIPTION! THE ANSWER TO YOUR QUESTION(S) ARE USUALLY ALREADY IN THE ,1,40,For parts or not working,0,None,Unknown,64,iPad 2,1,11667
,0,119.99,For parts or not working,0,None,Unknown,16,iPad mini,0,11668
"Works great, just has a hairline crack",1,74.99,For parts or not working,0,None,Black,16,iPad 2,1,11669
,1,29.95,For parts or not working,0,None,Black,16,iPad 2,1,11670
,1,40,For parts or not working,1,Verizon,White,32,iPad 2,1,11671
,1,50,For parts or not working,0,None,Unknown,16,iPad mini,1,11672
"Pin locked, home button does not work.",0,129.95,For parts or not working,0,None,Black,16,iPad 2,0,11673
,1,45,For parts or not working,0,None,Unknown,16,iPad mini,0,11674
iPad has minor cracks in glass. Only minor crack or no cracks at all on actual viewing area. Fully ,0,129.95,For parts or not working,1,Unknown,Black,32,iPad 2,0,11675
Please scroll down to see pictures and full description,0,54.99,For parts or not working,1,AT&T,Black,64,iPad 1,1,11676
,0,189.99,For parts or not working,0,None,Unknown,16,iPad Air,0,11677
,1,1,For parts or not working,Unknown,Unknown,Unknown,16,iPad 3,1,11678
,1,70,For parts or not working,0,None,Unknown,16,iPad mini,1,11679
"The display doesn&#039;t work, will need a new screen, SOLD AS IS, price reflected.  Being that it&#039;s sold ",1,49.99,For parts or not working,0,None,Black,64,iPad 1,1,11680
"Non-Functioning Unit, handset only. Please refer to the item description below. Contact us with any ",1,0.99,For parts or not working,0,None,Unknown,16,iPad 2,1,11681
"Fully functional, Only cracked Digitizer , Screen works great",0,399.99,For parts or not working,1,AT&T,Unknown,64,iPad Air 2,0,11682
BROKEN DEVICE: Problem with Apple ID,1,149.98,For parts or not working,0,None,Unknown,16,iPad 4,0,11683
READ DESCRIPTION SOLD AS IS NO RETURNS,0,157,For parts or not working,1,Verizon,Unknown,16,iPad 2,0,11684
a icloud lock that&#039;s why im selling it for parts as-is. The ipad has signs of use such as few ,1,160,For parts or not working,0,None,Unknown,16,iPad 2,0,11685
,1,50,For parts or not working,Unknown,Unknown,Space Gray,Unknown,Unknown,1,11686
,0,100,For parts or not working,0,None,Unknown,16,iPad mini,0,11687
Cracked screen,1,1,For parts or not working,0,None,Unknown,64,iPad Air 2,1,11688
There are many cracks on the screen of this iPad including a chip on the bottom right edge of the ,1,0.99,For parts or not working,0,None,Black,16,iPad mini,1,11689
"Non-Functioning Unit, handset only. Please refer to the item description below. Contact us with any ",1,0.99,For parts or not working,0,None,Unknown,32,iPad 4,1,11690
"Non-Functioning Unit, handset only. Please refer to the item description below. Contact us with any ",1,0.99,For parts or not working,0,None,Unknown,32,iPad mini,0,11691
,0,150,For parts or not working,Unknown,Unknown,White,32,iPad 4,0,11692
This item is broken and does not function. It is being sold for parts only. See pictures for ,1,224.99,For parts or not working,1,Verizon,Unknown,32,iPad 4,0,11693
,1,15,For parts or not working,0,None,Unknown,16,iPad 2,1,11694
,1,75,For parts or not working,Unknown,Unknown,Space Gray,16,Unknown,1,11695
,0,55,For parts or not working,Unknown,Unknown,Unknown,Unknown,iPad 1,0,11696
,0,250,For parts or not working,0,None,Unknown,16,iPad 2,1,11697
Screen is cracked and covered with tape. Appears to be functional otherwise. SOLD AS-IS.,0,89.99,For parts or not working,0,None,Unknown,16,iPad 2,0,11698
,1,99.99,For parts or not working,Unknown,Unknown,Unknown,Unknown,iPad 4,0,11699
,1,19.99,For parts or not working,Unknown,Unknown,Space Gray,16,Unknown,0,11700
,1,62,For parts or not working,Unknown,Unknown,White,Unknown,iPad mini,1,11701
Working Condition.  Shattered and missing glass around home button.  Several cracks running across ,0,144.5,For parts or not working,0,None,Black,16,iPad 4,1,11702
,0,74.95,For parts or not working,0,None,Unknown,16,iPad mini,0,11703
,1,99.95,For parts or not working,0,None,White,16,iPad mini,0,11704
,0,590,New,Unknown,Unknown,White,16,Unknown,1,11705
Touch screen issue; handset only. Please refer to the item description below. Contact us with any ,1,0.99,For parts or not working,0,None,Unknown,32,iPad 4,1,11706
Please scroll down to see pictures and full description,0,29.99,For parts or not working,1,AT&T,Black,16,iPad 1,1,11707
"Non-Functioning Unit, handset only. Please refer to the item description below. Contact us with any ",1,0.99,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,1,11708
,1,25,For parts or not working,Unknown,Unknown,Unknown,16,Unknown,1,11709
USED. IN GOOD CONDITION. HAS SMALL CRACK ON TOP RIGHT CORNER. WIPED CLEAN. READY FOR USE.,1,0.99,For parts or not working,0,None,Unknown,32,iPad mini,1,11710
,1,0.99,For parts or not working,Unknown,Unknown,Unknown,16,Unknown,1,11711
,1,42,For parts or not working,0,None,Black,16,iPad mini,0,11712
Item is fully functioning. It has a crack in the top right corner of the screen.,1,150,For parts or not working,0,None,Unknown,32,iPad 3,0,11713
"Minor cosmetic defects, LCD in working order. THIS DEVICE IS I CLOUD LOCKED AND UNABLE TO BE ",1,20,For parts or not working,Unknown,Unknown,White,Unknown,Unknown,1,11714
,1,0.99,For parts or not working,0,None,White,16,iPad 3,1,11715
,1,1,For parts or not working,Unknown,Unknown,Unknown,Unknown,iPad mini,1,11716
Screen turns OFF when pressure is applied on it by touching it. When applying pressure on another ,1,20,For parts or not working,0,None,Space Gray,16,iPad mini,1,11717
iPad won&#039;t power on..iPhone is in average shape,1,100,For parts or not working,Unknown,Unknown,Unknown,32,iPad 1,0,11718
,0,196.79,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,0,11719
,0,150.87,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,1,11720
"BROKEN: Device has at least one or more problems: 
For Parts or Repair",0,36.95,For parts or not working,0,None,Unknown,16,iPad 1,1,11721
Broken Screen,1,0.99,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,1,11722
"Non-Functioning Unit, handset only. Please refer to the item description below. Contact us with any ",1,0.99,For parts or not working,0,None,Unknown,16,iPad mini,1,11723
See below!,0,209.9,For parts or not working,0,None,Unknown,16,iPad 1,0,11724
"Water damage, broken. See full description for details",0,80,For parts or not working,Unknown,Unknown,Unknown,Unknown,iPad 2,1,11725
Physically in GREAT shape; minor scratching-- so minor that I couldn&#039;t get a clear photo of any. ,1,0.99,For parts or not working,0,None,Black,16,iPad mini,1,11726
Please scroll down to see pictures and full description,0,52.99,For parts or not working,1,AT&T,Black,32,iPad 1,1,11727
,0,60,For parts or not working,0,None,Black,16,iPad mini,0,11728
"Cracked Screen, but device is still fully functional. iCloud Unlocked.",1,0.99,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,1,11729
"Non-Functioning Unit, handset only. Please refer to the item description below. Contact us with any ",1,0.99,For parts or not working,0,None,Unknown,16,iPad Air,1,11730
,0,69,For parts or not working,Unknown,Unknown,White,16,Unknown,1,11731
This iPad Mini 1st Gen sustained a very minor drop and the display glass was cracked on the top left ,1,9.99,For parts or not working,0,None,White,16,iPad mini,1,11732
"Ipad is in good condition, minimal wear and tear. Ipad will not power on. Keeps boot looping on ",0,59.99,For parts or not working,Unknown,Unknown,Unknown,Unknown,iPad 1,0,11733
,1,10,For parts or not working,0,None,White,32,iPad 3,1,11734
Device is in POOR used cosmetic condition with cracked outer glass. Color is White. Device is ,0,99.95,For parts or not working,1,Verizon,Unknown,16,iPad 3,1,11735
,1,0.01,For parts or not working,0,None,Space Gray,16,iPad mini 2,1,11736
Item is fully functional it&#039;s just it won&#039;t let me connect to iTunes,1,75,For parts or not working,0,None,Unknown,64,iPad 2,1,11737
"BROKEN: Device has at least one or more problems: 
For Parts or Repair",0,36.95,For parts or not working,0,None,Unknown,16,iPad 1,1,11738
iPad is cracked but fully functional. Everything works well and just needs the screen (digitizer) to ,0,128,For parts or not working,0,None,White,32,iPad 3,0,11739
This auction is for the iPad Mini for Parts only. This iPad Mini is locked and the owner forgot the ,0,99.99,For parts or not working,0,None,Black,Unknown,iPad mini,1,11740
,1,99.99,For parts or not working,0,None,Unknown,16,iPad mini,0,11741
,0,100,For parts or not working,Unknown,Unknown,White,Unknown,iPad mini,0,11742
,0,130,For parts or not working,0,None,Space Gray,16,iPad mini,0,11743
"Cracked Screen, good condition otherwise.",1,0.99,For parts or not working,0,None,Black,16,iPad 4,1,11744
Some light scratches to the case and screen. Overall good condition. Please see photos.,0,99.99,For parts or not working,1,Verizon,Unknown,16,iPad 3,0,11745
,1,155.99,For parts or not working,0,None,Unknown,16,iPad 4,0,11746
,0,119.99,For parts or not working,1,Verizon,Unknown,32,iPad 2,0,11747
The Screen is cracked and it needs to be reset.,1,65,For parts or not working,Unknown,Unknown,Black,Unknown,Unknown,0,11748
,0,65,For parts or not working,0,None,Black,32,iPad 2,0,11749
"Front glass has already been removed, they are ready for a new digitizer to be installed. They have ",0,165,For parts or not working,Unknown,Unknown,Unknown,16,iPad mini,0,11750
"iPad is in good condition, has minimal wear and tear. iPad is icloud locked. SOLD AS-IS! FOR PARTS ",0,66.99,For parts or not working,0,None,Unknown,16,iPad 2,0,11751
In good condition has a minor scratch on the back,0,199,For parts or not working,0,None,Unknown,16,iPad mini,0,11752
"Broken Screen. Includes unit only, and nothing else. Unit is not icloud locked. Disclaimer: This ",0,55.66,For parts or not working,1,Verizon,White,32,iPad 1,1,11753
"Shows Apple ID locked, password required on activation screen.  Unknown imei and storage space.  ",0,79,For parts or not working,Unknown,Unknown,Unknown,Unknown,iPad mini,0,11754
,0,142.49,For parts or not working,Unknown,Unknown,Unknown,Unknown,iPad 2,0,11755
For Parts Or Repair,0,85,For parts or not working,0,None,Black,16,iPad 2,0,11756
,1,99.99,For parts or not working,1,Unknown,Unknown,16,iPad Air 2,1,11757
,1,0.99,For parts or not working,1,Unknown,Black,64,iPad 3,1,11758
"iPad Air 2 16 gb Logic board NO ICLOUD !!!  NO TURN ON , NO POWER",0,59,For parts or not working,Unknown,Unknown,Unknown,Unknown,iPad Air 2,1,11759
,0,99.95,For parts or not working,0,None,Unknown,16,iPad Air 2,0,11760
iCloud locked,0,100,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,0,11761
"Screen is cracked in multiple places, there is a hole in the top left of the ipad.  In need of new ",1,100,For parts or not working,0,None,White,16,iPad Air,1,11762
,0,100,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,0,11763
,0,91,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,1,11764
,1,500,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,0,11765
,1,45,For parts or not working,0,None,Unknown,16,iPad mini,1,11766
"Ipad 2 32gb Housing. Some scratches and small dents, but overall good condition.",0,19.99,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,0,11767
Cracked but works read first before buying,0,155,For parts or not working,0,None,White,16,iPad mini 2,0,11768
,1,25,For parts or not working,0,None,White,16,Unknown,0,11769
,0,150,For parts or not working,1,AT&T,White,16,iPad 2,0,11770
,0,415,New,0,None,White,16,iPad Air,0,11771
Mint Condition,0,319.99,Used,Unknown,Unknown,Space Gray,16,iPad Air,0,11772
Slightly used. Owned for a little less than a year and always in a leather bound case. Some minor ,1,99,Used,0,None,White,16,iPad mini,1,11773
,0,179.95,Used,0,None,Unknown,32,iPad 3,0,11774
Item has minor screen and body scratching. Sticker on the back. Has power. Fully functional. Clean ,0,104.99,Used,1,AT&T,Unknown,64,iPad 1,0,11775
"8 x 64GB, 2 x 32GB &amp; 2 x 16GB iPad 1 Wifi &amp; Cellular - Please Read Description",1,275,For parts or not working,1,Unknown,Black,Unknown,iPad 1,1,11776
,1,325,New,Unknown,Unknown,White,16,iPad mini 3,0,11777
"2 x iPad Air, 5 x iPad 4 &amp; 1 x iPad 2 - None are iCloud Locked - Please Read Description",1,9.99,For parts or not working,1,AT&T,Unknown,64,iPad 3,1,11778
,0,379.99,Used,0,None,Unknown,32,iPad mini,0,11779
,0,279,For parts or not working,0,None,Black,16,iPad 2,0,11780
PROFESSIONALLY REFURBISHED in EXCELLENT LIKE NEW CONDITION in ORIGINAL APPLE BOX - COMES WITH 30 DAY ,0,264.99,Manufacturer refurbished,0,None,White,16,iPad 4,0,11781
,0,579.99,New,1,AT&T,Unknown,128,iPad Air,0,11782
,1,0.99,New,0,None,Unknown,16,iPad mini,1,11783
Works great. Nothing wrong with it ...I just upgraded,0,249.95,Used,0,None,Unknown,16,iPad 4,1,11784
"The LCD looks good, bright and clear with no visible imperfections. The screen glass is in good ",1,19.95,For parts or not working,0,None,White,16,iPad 2,1,11785
,0,379.99,New,0,None,White,16,iPad Air 2,0,11786
There is a minor issue with the LCD backlight causing the display to have a slight wavy texture. ,0,149.95,Used,0,None,Unknown,16,iPad mini 2,1,11787
,0,149.95,Seller refurbished,0,None,Black,64,iPad 2,0,11788
,0,309.95,Used,1,Verizon,Black,16,iPad mini 3,0,11789
New without box - Plastic still on iPad. Received replacement from Apple and never used since - ,0,324.9,New other (see details),1,AT&T,Black,32,iPad 4,0,11790
,1,349.99,New,0,None,White,16,iPad Air 2,1,11791
Excellent condition. Normal wear from use. no real marks because it was in a case from day 1. No ,0,375,Used,1,Verizon,White,32,iPad Air,0,11792
,0,319.98,New,0,None,White,16,iPad mini 2,0,11793
,0,374.95,Used,1,Verizon,Black,16,iPad Air 2,0,11794
,0,379.99,New other (see details),0,None,Space Gray,16,iPad mini 3,0,11795
,1,80,Used,Unknown,Unknown,Unknown,16,Unknown,0,11796
,0,339,New,0,None,White,32,iPad mini Retina,1,11797
Mint conditon + case + box.,0,509,Used,1,AT&T,Unknown,64,iPad Air 2,0,11798
Please see below,0,229,Used,0,None,Unknown,16,iPad Air,0,11799
,0,299.99,New other (see details),1,Sprint,Unknown,16,iPad mini,0,11800
"Ipad is in good condition, minimal wear and tear. Ipad is icloud locked.",0,74.99,For parts or not working,0,None,Unknown,16,iPad mini,0,11801
,0,250,Used,0,None,Space Gray,16,iPad Air,1,11802
"IMEI REVIEWED ON SWAPPA.COM.  WEBSITE SHOWS IT IS CLEAR, BUT STILL NOT SURE OF IMEI STATUS.  BUY AT ",0,124.99,Used,1,Unknown,Black,32,iPad 1,0,11803
30 Day Warranty.  Refurbished iPad Mini with signs of normal wear including possible scratching on ,0,409.99,Seller refurbished,Unknown,AT&T,White,Unknown,Unknown,1,11804
,0,219.99,Used,1,AT&T,Unknown,32,iPad 4,1,11805
,0,100,Used,0,None,Unknown,16,iPad 1,0,11806
"Used: Good - This is a used item in good condition. The item may have minor scratches, scuffs or ",0,199.99,Used,1,AT&T,Black,32,iPad 3,1,11807
,1,0.99,Used,0,None,Unknown,16,iPad 4,1,11808
"Used: Good - This is a used item in good condition. The item may have minor scratches, scuffs or ",1,49.99,Used,1,AT&T,Black,32,iPad 1,1,11809
"Used: Good - This is a used item in good condition. The item may have minor scratches, scuffs or ",1,149.99,Used,1,Verizon,Black,64,iPad 2,1,11810
30 Day Warranty.  Refurbished iPad 2 with scratching on screen and wear on backplate.  Comes with ,0,199.99,Seller refurbished,Unknown,None,Black,Unknown,Unknown,0,11811
"BROKEN: Device has at least one or more problems: 
For Parts or Repair",0,36.95,For parts or not working,0,None,Unknown,16,iPad 1,1,11812
"Without retail box, charger included. No manual included.  Customer or Carrier Return in New-Other ",0,298,New other (see details),1,AT&T,Black,64,iPad 3,0,11813
This device is used but in good cosmetic condition; it has signs of normal wear and tear with some ,0,319.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,1,11814
This device was previously owned but is in Mint condition. Items in Mint condition may have signs of ,0,209,Seller refurbished,0,None,Unknown,16,iPad mini,0,11815
This device is used but in good cosmetic condition; it has signs of normal wear and tear with some ,0,319.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,1,11816
This item is used but in very good condition. It will have some very minor signs of use such as ,0,419.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,1,11817
Refurbished by Geek squad.,0,249,Seller refurbished,1,AT&T,White,32,iPad 4,0,11818
This device was previously owned but is in Mint condition. Items in Mint condition may have signs of ,0,249,Seller refurbished,Unknown,Unknown,Unknown,Unknown,Unknown,0,11819
This device is used but in good cosmetic condition; it has signs of normal wear and tear with some ,0,179.99,Used,1,AT&T,Unknown,16,iPad mini,1,11820
This item is used but in very good condition. It will have some very minor signs of use such as ,0,159.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,1,11821
"Very gently used, looks like new, Clean ESI/IMIE",0,279.99,Used,1,AT&T,Space Gray,16,iPad Air,0,11822
"This is a pre-owned device. It is in very good condition and may have signs of minimal wear, but ",0,229,Seller refurbished,Unknown,Unknown,Unknown,Unknown,Unknown,1,11823
CRACKED SCREEB - TOUCHSCREEN STILL WORKS - WAS RESET BACK TO FACTORY SETTINGS WITHOUT ISSUES - FIND ,0,129.95,For parts or not working,1,AT&T,Black,32,iPad mini,0,11824
,0,244.95,Seller refurbished,0,None,White,16,iPad 4,0,11825
"This is a pre-owned device. It is in very good condition and may have signs of minimal wear, but ",0,319,Seller refurbished,Unknown,Unknown,Unknown,Unknown,Unknown,0,11826
This device was previously owned but is in Mint condition. Items in Mint condition may have signs of ,0,289,Seller refurbished,Unknown,Unknown,Unknown,Unknown,Unknown,0,11827
Like New in Excellent Condition. In Apple iPad mini Box. Fast Shipment,0,249.99,Manufacturer refurbished,0,None,White,16,iPad mini,0,11828
Icloud locked - clean no scratches,1,49.95,Used,0,None,White,16,iPad mini,1,11829
,0,85,Used,0,None,Unknown,32,iPad 1,1,11830
IPAD IS IN VERY GOOD CONDITION WITH NO MAJOR SCRATCHES TO SCREEN AND NO CRACKS OR DENT ....IPAD IS ,1,0.99,Seller refurbished,0,None,White,16,iPad 4,1,11831
,0,629,New,0,None,Gold,128,iPad Air 2,0,11832
,0,429,New,0,None,White,16,iPad Air 2,0,11833
,0,529,New,0,None,White,64,iPad Air 2,0,11834
,0,430,Used,Unknown,Unknown,Unknown,Unknown,iPad Air 2,0,11835
,1,52.25,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,11836
,0,90,Seller refurbished,1,AT&T,Black,64,iPad 1,0,11837
,0,87,Used,0,None,Unknown,16,Unknown,0,11838
"Powers up, Good Glass, LCD, Digi. All functions are working properly. Battery Used, Tested, Working ",1,50,Used,0,None,Black,32,iPad 1,1,11839
,0,249.99,Used,1,Sprint,Space Gray,16,iPad Air,1,11840
,0,139,Used,0,None,Black,32,iPad 2,0,11841
"Item specifics: Condition:  The screen got broken and it was replaced, the unit works great. Seller ",0,219.99,Used,Unknown,None,Black,Unknown,iPad 3,0,11842
,0,329.99,New,0,None,Unknown,16,iPad mini 2,0,11843
"BROKEN: Device has at least one or more problems: 
For Parts or Repair",0,36.95,For parts or not working,0,None,Unknown,16,iPad 1,0,11844
,0,400,New,0,None,White,16,iPad mini 3,0,11845
"Black bezel, Screen like new.  Working excellently.",0,250,Used,0,None,Black,16,iPad 4,0,11846
Slightly used item in mint condition. 100% working tested and verified. NO Scratches/ or invisible ,0,164.99,Used,0,None,White,16,iPad 2,0,11847
Cosmetically in mint condition. 100% working. No or inivisible scratches on front screen. Back cover ,0,129.99,Used,0,None,Black,32,iPad 1,0,11848
100% working and cosmetically perfect. Minimal signs of use. No or invisible scratches on front ,0,164.99,Used,0,None,White,16,iPad 2,0,11849
,1,119.99,Manufacturer refurbished,0,None,Black,16,iPad mini,1,11850
Item Specifics: Condition: USED    The screen got broken and it was replaced and works great.    ,0,219.95,Used,Unknown,None,Black,Unknown,iPad 3,0,11851
Unit has lots of scuffs and scratches from use. Parts of bezel are missing. Digitizer has been ,0,59.99,For parts or not working,1,Verizon,Unknown,16,iPad 2,1,11852
,0,279,New,Unknown,Unknown,Unknown,Unknown,Unknown,0,11853
,0,319,Used,Unknown,Unknown,White,Unknown,Unknown,0,11854
Good Condition. Used. Screen has a glitter size spec on screen. Spec is barely visible when screen ,0,424.99,Used,0,None,White,64,iPad Air 2,1,11855
Overall item is in good condition and is fully operational and ready to use. Comes with box and ,0,89.5,Used,1,AT&T,Unknown,16,iPad 1,0,11856
Used. Tested. Guaranteed to work. Physical condition grade B+ does have some light scratches and ,0,239.95,Used,0,None,Black,32,iPad 4,1,11857
"This item is brand new and was never used; however, the box and/or packaging has been opened.",0,329.99,New other (see details),0,None,Space Gray,16,iPad Air,0,11858
,0,400,New,0,None,Gold,16,iPad mini 3,0,11859
"This unit has minor scratches on case and several small scratches on the display. 
It is in ",0,89,Seller refurbished,0,None,Black,64,iPad 1,1,11860
30 Day Warranty.  Fully functional engraved iPad 1st Generation with signs of normal wear which ,0,119.99,Used,1,AT&T,Black,64,iPad 1,0,11861
